fact_id,db_order_id,db_line_id,invoice_number,order_date,customer_code,customer_name,tax_code,address,province_name,product_code,product_name_pdf,product_name_clean,product_name_source,unit,quantity,unit_price,line_total,message_id,received_at
1,1,1,BH26_0935,01/03/2026,LONGPHU,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",Hà Nội,000104002009000,Xe nnp Thnng Nhnt Tom & Jerry 14 Hnng,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,AUTO_CLEAN,Chiếc,1.0,1898148.0,1898148.0,<177639809687.27.2053695854357871005@longphu.vn>,"Sun, 01 Mar 2026 14:28:41 +0700"
2,2,2,BH26_0936,01/03/2026,LONGPHU,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",Hà Nội,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,Xe đạp Thống Nhất LD 26 Pastel Xanh,AUTO_CLEAN,Chiếc,1.0,2861111.0,2861111.0,<177639809696.27.1453607047024582931@longphu.vn>,"Sun, 01 Mar 2026 08:01:22 +0700"
3,3,3,BH26_0937,01/03/2026,LONGPHU,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",Hà Nội,000103002009000,Xe nnp Thnng Nhnt We Bare Bears 16 Hnng,Xe đạp Thống Nhất We Bare Bears 16 Hồng,AUTO_CLEAN,Chiếc,1.0,1935185.0,1935185.0,<177639809697.27.11596357474505186610@longphu.vn>,"Sun, 01 Mar 2026 17:39:23 +0700"
4,4,4,BH26_0938,01/03/2026,NAMTIEN,CÔNG TY CỔ PHẦN NAM TIẾN,111014028,"Phường Phú Diễn, TP Hà Nội",Hà Nội,000331002008000,Xe nnp Thnng Nhnt MTB 26-02 Ghi,Xe đạp Thống Nhất MTB 26-02 Ghi,AUTO_CLEAN,Chiếc,1.0,2953704.0,2953704.0,<177639809697.27.6670988768861278913@namtien.vn>,"Sun, 01 Mar 2026 14:00:16 +0700"
5,5,5,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,Xe đạp Thống Nhất New 26 Kem,AUTO_CLEAN,Chiếc,2.0,1616111.0,3232222.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
6,5,6,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000225002002000,Xe nnp Thnng Nhnt New 26 Trnng,Xe đạp Thống Nhất New 26 Trắng,AUTO_CLEAN,Chiếc,3.0,1616111.0,4848333.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
7,5,7,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000225002015000,Xe nnp Thnng Nhnt New 26 Café/nâu,Xe đạp Thống Nhất New 26 Café/nâu,AUTO_CLEAN,Chiếc,1.0,1616111.0,1616111.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
8,5,8,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000225002025000,Xe nnp Thnng Nhnt New 26 Xanh mint,Xe đạp Thống Nhất New 26 Xanh mint,AUTO_CLEAN,Chiếc,2.0,1616111.0,3232222.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
9,5,9,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000209002007000,Xe nnp Thnng Nhnt 219-26 Coban,Xe đạp Thống Nhất 219-26 Cơ bản,AUTO_CLEAN,Chiếc,1.0,1469444.0,1469444.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
10,5,10,BH26_0939,01/03/2026,KHAIHOAN,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",Thanh Hóa,000336002004000,Xe nnp Thnng Nhnt SK 20 nn,Xe đạp Thống Nhất SK 20 nn,AUTO_CLEAN,Chiếc,1.0,1377777.0,1377777.0,<177639809699.27.15777827095392894769@khaihoan.vn>,"Sun, 01 Mar 2026 08:47:33 +0700"
